name,price,set_ID,rating
Dr. Fox Magnifying Machine ,"$8.49, 8.49€ | ,11.2c, 11.2c,Box,LEGO exclusive,USA: Aug 18, UK/EU: Aug 18,Normal",40314: ,4.0
Ninjago board game,,40315: ,4.0
Geoffrey,,40316: ,4.0
Plants From Plants,,40320: ,4.0
"Bean There, Donut That","$19.99 ,13.7c,Box,Retail - limited,Normal",40358: ,4.0
Mini-Doll Dress-Up Kit,"$9.99, 9.99€ | ,12.5c, 12.5c,Box,LEGO exclusive,USA: Jan 18, UK/EU: Dec 17,Normal",40388: ,4.0
Photo Frame,"$14.99 ,8.8c,Box,LEGOLAND exclusive,Normal",40389: ,4.0
Mulan's Training Day,"$14.99, 14.99€ | ,14.4c, 14.4c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41151: ,4.0
Sleeping Beauty's Fairytale Castle,"$39.99, 39.99€ | ,12.4c, 12.4c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41152: ,4.0
Ariel's Royal Celebration Boat,"$49.99, 49.99€ | ,13.2c, 13.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41153: ,4.0
Cinderella's Dream Castle,"$69.99, 79.99€ | ,12.0c, 13.7c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41154: ,4.0
Elsa's Market Adventure,"$19.99, 19.99€ | ,16.0c, 16.0c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41155: ,4.0
Rapunzel's Castle Bedroom,"$19.99, 19.99€ | ,12.8c, 12.8c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41156: ,4.0
Rapunzel's Travelling Caravan,"$39.99, 39.99€ | ,12.4c, 12.4c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41157: ,4.0
Emily Jones & The Eagle Getaway,"$14.99, 14.99€ | ,10.1c, 10.1c,Box,Retail,USA: Jan 18, UK/EU: Mar 18,Normal",41190: ,4.0
Naida & The Water Turtle Ambush,"$19.99, 24.99€ | ,9.8c, 12.2c,Box,Retail,USA: Jan 18, UK/EU: Mar 18,Normal",41191: ,4.0
Azari & The Fire Lion Capture,"$29.99, 29.99€ | ,8.3c, 8.3c,Box,Retail,USA: Jan 18, UK/EU: Mar 18,Normal",41192: ,4.0
Aira & the Song of the Wind Dragon,"$39.99, 39.99€ | ,8.9c, 8.9c,Box,Retail,USA: Jan 18, UK/EU: Mar 18,Normal",41193: ,4.0
Noctura's Tower & the Earth Fox Rescue ,"$59.99, 59.99€ | ,9.3c, 9.3c,Box,Retail,USA: Jan 18, UK/EU: Mar 18,Normal",41194: ,4.0
Emily & Noctura's Showdown,"$49.99, 49.99€ | ,7.7c, 7.7c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41195: ,4.0
The Elvenstar Tree Bat Attack,"$79.99, 79.99€ | ,9.1c, 9.1c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41196: ,4.0
Bubbles Playground Showdown,"$19.99, 19.99€ | ,13.9c, 13.9c,Box,Retail,USA: Aug 18, UK/EU: Aug 18,Normal",41287: ,4.0
Mojo Jojo Strikes,"$29.99, 34.99€ | ,13.2c, 15.3c,Box,Retail,USA: Aug 18, UK/EU: Aug 18,Normal",41288: ,4.0
Mia's Bedroom,"$9.99, 9.99€ | ,11.6c, 11.6c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41327: ,4.0
Stephanie's Bedroom,"$9.99, 9.99€ | ,10.5c, 10.5c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41328: ,4.0
Olivia's Deluxe Bedroom,"$14.99, 14.99€ | ,9.2c, 9.2c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41329: ,4.0
Stephanie's Soccer Practice,"$14.99, 14.99€ | ,12.6c, 12.6c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41330: ,4.0
Emma's Art Stand,"$19.99, 19.99€ | ,9.5c, 9.5c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41332: ,
Olivia's Mission Vehicle,"$19.99, 19.99€ | ,9.0c, 9.0c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41333: ,
Andrea's Park Performance,"$24.99, 24.99€ | ,10.9c, 10.9c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41334: ,
Mia's Tree House,"$29.99, 29.99€ | ,8.5c, 8.5c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41335: ,
Emma's Art Café,"$32.99, 32.99€ | ,8.7c, 8.7c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41336: ,
Stephanie's Sports Arena,"$44.99, 39.99€ | ,9.8c, 8.7c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41338: ,
Mia's Camper Van,"$54.99, 54.99€ | ,11.3c, 11.3c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41339: ,
Friendship House,"$69.99, 69.99€ | ,9.7c, 9.7c,Box,Retail,USA: Jan 18, UK/EU: Dec 17,Normal",41340: ,
Andrea's Bedroom,"$9.99, 9.99€ | ,11.8c, 11.8c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41341: ,
Emma's Deluxe Bedroom,"$14.99, 14.99€ | ,8.2c, 8.2c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41342: ,
Heartlake City Airplane Tour,"$29.99, 29.99€ | ,9.3c, 9.3c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41343: ,
Andrea's Accessories Store,"$29.99, 29.99€ | ,10.2c, 10.2c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41344: ,
Heartlake City Pet Centre,"$59.99, 59.99€ | ,12.7c, 12.7c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41345: ,
Friendship Box,"$49.99, 49.99€ | ,8.9c, 8.9c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41346: ,
Heartlake City Resort,"$99.99, 99.99€ | ,9.8c, 9.8c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41347: ,
Service & Care Truck,"$19.99, 19.99€ | ,8.1c, 8.1c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41348: ,
Drifting Diner,"$29.99, 29.99€ | ,8.7c, 8.7c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41349: ,
Spinning Brushes Car Wash,"$29.99, 29.99€ | ,9.2c, 9.2c,Box,Retail,USA: Aug 18, UK/EU: Jun 18,Normal",41350: ,
Creative Tuning Shop,"$39.99, 39.99€ | ,9.7c, 9.7c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41351: ,
The Big Race Day,"$59.99, 47.99€ | ,9.3c, 7.4c,Box,Retail,USA: Jun 18, UK/EU: Jun 18,Normal",41352: ,
