,decade,rgb,quantity
132,1990s,3F3691,0.0066166740185266875
133,1990s,4354A3,0.0066166740185266875
134,1990s,4B9F4A,0.14005293339214822
135,1990s,4C61DB,0.0176444640494045
136,1990s,55A5AF,0.01874724305249228
137,1990s,582A12,0.0011027790030877812
138,1990s,583927,1.8956771063078959
139,1990s,5A93DB,0.06065284516982797
140,1990s,635F52,0.00882223202470225
141,1990s,6C6E68,0.03198059108954566
142,1990s,6C96BF,0.0066166740185266875
143,1990s,6D6E5C,2.8462726069695634
144,1990s,73DCA1,0.22055580061755625
145,1990s,81007B,0.11689457432730481
146,1990s,84B68D,0.45985884428760476
147,1990s,898788,0.0011027790030877812
148,1990s,9391E4,0.015438906043228937
149,1990s,958A73,0.0011027790030877812
150,1990s,9BA19D,12.846272606969563
151,1990s,9CA3A8,0.009925011027790032
152,1990s,9FC3E9,0.0022055580061755625
153,1990s,A0A5A9,0.02646669607410675
154,1990s,A5A9B4,0.012130569033965593
155,1990s,A95500,0.05513895015438906
156,1990s,AA7F2E,0.0011027790030877812
157,1990s,AEEFEC,0.7134980149977944
158,1990s,B31004,0.011027790030877812
159,1990s,B3D7D1,0.0176444640494045
160,1990s,B4D2E3,0.0033083370092633437
161,1990s,B4D4F7,0.004411116012351125
162,1990s,B67B50,0.007719453021614468
163,1990s,BBA53D,0.4146449051610057
164,1990s,BBE90B,0.015438906043228937
165,1990s,C2DAB8,0.11358623731804146
166,1990s,C7D23C,0.034186149095721215
167,1990s,C870A0,0.4223643581826202
168,1990s,C91A09,13.777018085575651
169,1990s,C9CAE2,0.12240846934274371
170,1990s,D09168,0.09263343625937362
171,1990s,D4D5C9,0.02867225408028231
172,1990s,D9E4A7,0.013233348037053375
173,1990s,DBAC34,0.0033083370092633437
174,1990s,DF6695,0.007719453021614468
175,1990s,E0E0E0,0.3032642258491398
176,1990s,E4CD9E,0.5337450374944861
177,1990s,E6E3DA,0.02867225408028231
178,1990s,F2705E,0.11689457432730481
179,1990s,F2CD37,11.583590648434054
180,1990s,F5CD2F,0.629686810763123
181,1990s,F6D7B3,0.05624172915747684
182,1990s,F785B1,0.024261138067931187
183,1990s,F8F184,0.750992501102779
184,1990s,F9BA61,0.00882223202470225
185,1990s,FA9C1C,0.04852227613586237
186,1990s,FBE696,0.0937362152624614
187,1990s,FC97AC,0.2734891927657697
188,1990s,FCFCFC,0.9197176885752095
189,1990s,FE8A18,0.1466696074106749
190,1990s,FEBABD,0.10917512130569033
191,1990s,FECCCF,0.005513895015438906
192,1990s,FF800D,0.3892809880899868
193,1990s,FFA70B,0.08822232024702249
194,1990s,FFF03A,0.0033083370092633437
195,1990s,FFFFFF,13.994265549183943
196,2000s,0020A0,0.613932833749653
197,2000s,0033B2,0.001850309926912758
198,2000s,0055BF,4.568045147562216
199,2000s,008F9B,0.15801646775834952
200,2000s,05131D,19.24729392173189
201,2000s,0A3463,0.5351096308631695
202,2000s,184632,0.2768063650661486
203,2000s,1B2A34,0.0022203719122953097
204,2000s,2032B0,0.0029604958830604126
205,2000s,237841,2.8409658617818483
206,2000s,352100,0.06550097141271163
207,2000s,3592C3,0.02997502081598668
208,2000s,36AEBF,0.0003700619853825516
209,2000s,3F3691,0.07734295494495327
210,2000s,4354A3,0.041076880377463224
211,2000s,4B9F4A,0.35562956795263206
212,2000s,4C61DB,0.15394578591914146
213,2000s,55A5AF,0.015912665371449718
214,2000s,575857,0.08326394671107411
215,2000s,582A12,1.9380146174484225
216,2000s,583927,0.8041446942362845
217,2000s,5A93DB,0.6080118419835322
218,2000s,5AC4DA,0.08548431862336942
219,2000s,6074A1,0.17022851327597371
220,2000s,635F52,0.6124525858081229
221,2000s,645A4C,0.008141363678416134
222,2000s,6874CA,0.03700619853825516
223,2000s,6C6E68,7.5459339439356095
224,2000s,6C96BF,0.005920991766120825
225,2000s,6D6E5C,2.407993338884263
226,2000s,720E0F,0.7723193634933851
227,2000s,73DCA1,0.024794153020630955
228,2000s,7988A1,0.01887316125451013
229,2000s,7C503A,0.03663613655287261
230,2000s,7DBFDD,0.029604958830604128
231,2000s,81007B,0.12175039319085947
232,2000s,845E84,0.010731797576093995
233,2000s,84B68D,0.6224442594134517
234,2000s,898788,0.3078915718382829
235,2000s,899B5F,0.008141363678416134
236,2000s,923978,0.061800351558886114
237,2000s,9391E4,0.005920991766120825
238,2000s,958A73,0.12323064113238967
239,2000s,96709F,0.06920159126653715
240,2000s,9BA19D,3.601073179757609
241,2000s,9CA3A8,0.6927560366361366
242,2000s,9FC3E9,0.019613285225275234
243,2000s,A0A5A9,8.725321491349801
244,2000s,A0BCAC,0.2138958275511148
245,2000s,A5A5CB,0.20982514571190675
246,2000s,A5A9B4,0.13877324451845685
247,2000s,A95500,0.2553427699139606
248,2000s,AA4D8E,0.04699787214358405
249,2000s,AA7F2E,0.14950504209455084
250,2000s,ABADAC,0.004440743824590619
251,2000s,AC78BA,0.0003700619853825516
252,2000s,AE7A59,0.041446942362845775
253,2000s,AEEFEC,0.556203164029975
254,2000s,B31004,0.0007401239707651032
255,2000s,B3D7D1,0.1084281617170876
256,2000s,B48455,0.026274400962161163
257,2000s,B4D2E3,0.09695624017022851
258,2000s,B4D4F7,0.004810805809973171
259,2000s,BBA53D,0.11212878157091313
260,2000s,BBE90B,0.603201036173559
